bubble,client,epochs,mae,mase,num_samples,rmse,round,smape,stage,strategy,train_samples,wmape
0,CA_1_FOODS_2,,16.953227996826172,2.3383946418762207,2720,21.630069732666016,2,48.592644929885864,federated,Global FedAvg,13200,0.27388091115887375
0,CA_1_FOODS_3,,50.96823501586914,3.714407205581665,2670,74.0740966796875,2,47.99845814704895,federated,Global FedAvg,12965,0.29770383775671166
0,CA_1_HOBBIES_1,,20.733070373535156,2.3756587505340576,2707,25.961767196655273,2,40.84340035915375,federated,Global FedAvg,13136,0.34764233738840655
0,CA_1_HOBBIES_2,,4.678017616271973,4.134141445159912,2482,7.114103317260742,2,88.02921175956726,federated,Global FedAvg,12087,0.6603822001901601
0,CA_1_HOUSEHOLD_1,,12.010313987731934,2.7160439491271973,2173,16.01184844970703,2,26.364776492118835,federated,Global FedAvg,10634,0.228833074172492
0,CA_1_HOUSEHOLD_2,,4.52300500869751,3.033801555633545,2720,5.672115325927734,2,59.047627449035645,federated,Global FedAvg,13200,0.3914526606448417
0,CA_2_FOODS_1,,19.2326602935791,3.1763787269592285,2605,25.235780715942383,2,44.825366139411926,federated,Global FedAvg,12660,0.3125437896909369
0,CA_2_FOODS_2,,9.600605010986328,3.120835065841675,2720,12.443404197692871,2,56.61194324493408,federated,Global FedAvg,13200,0.38607948980227297
0,CA_2_FOODS_3,,41.67643737792969,5.034856796264648,2613,59.09787368774414,2,47.8440135717392,federated,Global FedAvg,12700,0.25234976398807424
0,CA_2_HOBBIES_1,,13.23783016204834,2.1085636615753174,2720,16.77448272705078,2,41.520923376083374,federated,Global FedAvg,13200,0.3669605026140553
0,CA_2_HOBBIES_2,,4.7102460861206055,3.6954543590545654,2485,8.881696701049805,2,74.92963671684265,federated,Global FedAvg,12102,0.5994244347566962
0,CA_2_HOUSEHOLD_1,,11.391378402709961,2.1256418228149414,2570,15.106085777282715,2,34.17149782180786,federated,Global FedAvg,12493,0.3076033559256932
