bubble,client,epochs,num_samples,rmse,round,smape,stage,strategy,train_samples
0,CA_4_HOBBIES_2,,2567,3.9806623458862305,3,111.92189455032349,federated,Global FedAvg,12478
0,CA_4_HOUSEHOLD_1,,2470,7.99503755569458,3,36.272504925727844,federated,Global FedAvg,12028
0,CA_4_HOUSEHOLD_2,,2547,9.663962364196777,3,66.91547632217407,federated,Global FedAvg,12391
0,TX_1_FOODS_1,,2375,22.152015686035156,3,56.50532245635986,federated,Global FedAvg,11577
0,TX_1_FOODS_2,,2720,18.354650497436523,3,45.59928476810455,federated,Global FedAvg,13200
0,TX_1_FOODS_3,,2670,58.27223205566406,3,24.296481907367706,federated,Global FedAvg,12965
0,TX_1_HOBBIES_1,,2720,15.2134428024292,3,58.56058597564697,federated,Global FedAvg,13200
0,TX_1_HOBBIES_2,,2660,6.067138671875,3,90.2073621749878,federated,Global FedAvg,12915
0,TX_1_HOUSEHOLD_1,,2454,22.1671085357666,3,35.60428023338318,federated,Global FedAvg,11949
0,TX_1_HOUSEHOLD_2,,2308,29.04342269897461,3,57.20314383506775,federated,Global FedAvg,11268
0,TX_2_FOODS_1,,2521,20.344696044921875,3,56.993210315704346,federated,Global FedAvg,12263
0,TX_2_FOODS_2,,2720,17.780141830444336,3,51.922643184661865,federated,Global FedAvg,13200
0,TX_2_FOODS_3,,2720,75.78899383544922,3,27.271926403045654,federated,Global FedAvg,13200
0,TX_2_HOBBIES_1,,2720,13.446590423583984,3,45.06319761276245,federated,Global FedAvg,13200
0,TX_2_HOBBIES_2,,2658,8.608854293823242,3,80.73883056640625,federated,Global FedAvg,12911
0,TX_2_HOUSEHOLD_1,,2504,32.013031005859375,3,54.840654134750366,federated,Global FedAvg,12184
0,TX_2_HOUSEHOLD_2,,2624,5.794824600219727,3,43.320631980895996,federated,Global FedAvg,12749
0,TX_3_FOODS_1,,2528,34.512699127197266,3,44.06173229217529,federated,Global FedAvg,12293
0,TX_3_FOODS_2,,2714,19.310306549072266,3,50.52611231803894,federated,Global FedAvg,13170
0,TX_3_FOODS_3,,2720,67.78455352783203,3,27.58968472480774,federated,Global FedAvg,13200
0,TX_3_HOBBIES_1,,2361,29.40925407409668,3,45.01897394657135,federated,Global FedAvg,11524
